Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
Precious Achiuwa,12.7,Precious Achiuwa,80.0,225.0,22.0,Memphis,Toronto Raptors,Toronto,SEP
Steven Adams,17.6,Steven Adams,83.0,265.0,28.0,Pittsburgh,Memphis Grizzlies,Memphis,JUL
Bam Adebayo,21.8,Bam Adebayo,81.0,255.0,24.0,Kentucky,Miami Heat,Miami,JUL
Santi Aldama,10.2,Santi Aldama,83.0,215.0,21.0,Loyola-Maryland,Memphis Grizzlies,Memphis,JAN
LaMarcus Aldridge,19.6,LaMarcus Aldridge,83.0,250.0,36.0,Texas-Austin,Brooklyn Nets,Brooklyn,JUL
Nickeil Alexander-Walker,10.5,Nickeil Alexander-Walker,77.0,205.0,23.0,Virginia Tech,Utah Jazz,Utah,SEP
Grayson Allen,12.7,Grayson Allen,76.0,198.0,26.0,Duke,Milwaukee Bucks,Milwaukee,OCT
Jarrett Allen,23.0,Jarrett Allen,82.0,243.0,24.0,Texas,Cleveland Cavaliers,Cleveland,APR
Jose Alvarado,16.4,Jose Alvarado,72.0,179.0,24.0,Georgia Tech,New Orleans Pelicans,New Orleans,APR
Kyle Anderson,14.4,Kyle Anderson,81.0,230.0,28.0,UCLA,Memphis Grizzlies,Memphis,SEP
Giannis Antetokounmpo,32.1,Giannis Antetokounmpo,83.0,242.0,27.0,Filathlitikos,Milwaukee Bucks,Milwaukee,DEC
Thanasis Antetokounmpo,12.5,Thanasis Antetokounmpo,78.0,219.0,29.0,Panathinaikos,Milwaukee Bucks,Milwaukee,JUL
Carmelo Anthony,14.8,Carmelo Anthony,79.0,238.0,38.0,Syracuse,Los Angeles Lakers,Los Angeles,MAY
Cole Anthony,13.5,Cole Anthony,75.0,185.0,22.0,North Carolina,Orlando Magic,Orlando,MAY
Ryan Arcidiacono,6.1,Ryan Arcidiacono,75.0,195.0,28.0,Villanova,New York Knicks,New York,MAR
D.J. Augustin,9.7,D.J. Augustin,71.0,183.0,34.0,Texas-Austin,Los Angeles Lakers,Los Angeles,NOV
Deni Avdija,11.6,Deni Avdija,81.0,210.0,21.0,Maccabi Tel Aviv,Washington Wizards,Washington,JAN
Deandre Ayton,21.9,Deandre Ayton,83.0,250.0,23.0,Arizona,Phoenix Suns,Phoenix,JUL
Udoka Azubuike,17.6,Udoka Azubuike,84.0,270.0,22.0,Kansas,Utah Jazz,Utah,SEP
Marvin Bagley III,15.7,Marvin Bagley III,83.0,235.0,23.0,Duke,Detroit Pistons,Detroit,MAR
LaMelo Ball,19.7,LaMelo Ball,79.0,180.0,20.0,Illawarra,Charlotte Hornets,Charlotte,AUG
Lonzo Ball,14.5,Lonzo Ball,78.0,190.0,24.0,UCLA,Chicago Bulls,Chicago,OCT
Mo Bamba,16.5,Mo Bamba,84.0,231.0,24.0,Texas,Orlando Magic,Orlando,MAY
Desmond Bane,17.6,Desmond Bane,77.0,215.0,24.0,TCU,Memphis Grizzlies,Memphis,JUN
Dalano Banton,10.0,Dalano Banton,79.0,204.0,22.0,Nebraska,Toronto Raptors,Toronto,NOV
Harrison Barnes,15.7,Harrison Barnes,80.0,225.0,30.0,North Carolina,Sacramento Kings,Sacramento,MAY
Scottie Barnes,16.3,Scottie Barnes,79.0,225.0,20.0,Florida State,Toronto Raptors,Toronto,AUG
RJ Barrett,13.7,RJ Barrett,78.0,214.0,22.0,Duke,New York Knicks,New York,JUN
