,Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
9,Justin Anderson,10.4,,,,,,,,
15,OG Anunoby,14.8,,,,,,,,
17,Trevor Ariza,7.0,,,,,,,,
20,Joel Ayayi,3.4,,,,,,,,
29,Cat Barber,-11.2,,,,,,,,
34,Paris Bass,13.9,,,,,,,,
42,Jordan Bell,29.9,,,,,,,,
43,DeAndre' Bembry,11.9,,,,,,,,
44,Dāvis Bertāns,9.4,,,,,,,,
53,Bogdan Bogdanović,15.4,,,,,,,,
54,Bojan Bogdanović,15.7,,,,,,,,
81,Shaq Buchanan,0.6,,,,,,,,
90,Vlatko Čančar,12.7,,,,,,,,
97,Willie Cauley-Stein,8.3,,,,,,,,
98,Ahmad Caver,76.2,,,,,,,,
100,Zylan Cheatham,-23.8,,,,,,,,
111,Darren Collison,-0.2,,,,,,,,
116,Petr Cornelie,9.6,,,,,,,,
122,Jarron Cumberland,8.4,,,,,,,,
129,Gabriel Deck,11.5,,,,,,,,
131,Sam Dekker,0.0,,,,,,,,
132,Javin DeLaurier,15.6,,,,,,,,
134,Mamadi Diakite,11.6,,,,,,,,
135,Cheick Diallo,12.3,,,,,,,,
140,Luka Dončić,25.1,,,,,,,,
143,Damyean Dotson,6.4,,,,,,,,
144,Devon Dotson,9.8,,,,,,,,
145,Sekou Doumbouya,40.7,,,,,,,,
146,Jeff Dowtin,6.8,,,,,,,,
147,PJ Dozier,8.7,,,,,,,,
148,Goran Dragić,10.0,,,,,,,,
152,Kris Dunn,12.5,,,,,,,,
154,Jaime Echenique,0.0,,,,,,,,
158,Rob Edwards,-0.8,,,,,,,,
162,James Ennis III,17.7,,,,,,,,
163,Drew Eubanks,18.0,,,,,,,,
164,Tacko Fall,11.3,,,,,,,,
171,Aleem Ford,0.5,,,,,,,,
175,Melvin Frazier,-0.4,,,,,,,,
176,Tim Frazier,3.3,,,,,,,,
177,Enes Freedom,15.0,,,,,,,,
182,Langston Galloway,0.7,,,,,,,,
184,Marcus Garrett,4.7,,,,,,,,
193,Freddie Gillespie,9.5,,,,,,,,
196,Jordan Goodwin,-20.4,,,,,,,,
201,Hassani Gravett,10.1,,,,,,,,
211,Kyle Guy,9.5,,,,,,,,
214,Tyler Hall,0.0,,,,,,,,
224,Shaquille Harrison,4.6,,,,,,,,
232,Aaron Henry,-7.4,,,,,,,,
233,Juancho Hernangómez,11.5,,,,,,,,
234,Willy Hernangómez,22.2,,,,,,,,
240,Solomon Hill,3.3,,,,,,,,
242,Jaylen Hoard,18.0,,,,,,,,
248,Scotty Hopson,0.1,,,,,,,,
255,Jay Huff,0.6,,,,,,,,
259,Chandler Hutchison,1.0,,,,,,,,
266,Wes Iwundu,7.1,,,,,,,,
271,Justin Jackson,7.7,,,,,,,,
274,DeJon Jarreau,0.0,,,,,,,,
275,DaQuan Jeffries,8.4,,,,,,,,
278,Alize Johnson,10.7,,,,,,,,
279,B.J. Johnson,12.1,,,,,,,,
283,James Johnson,10.3,,,,,,,,
284,Joe Johnson,38.7,,,,,,,,
288,Tyler Johnson,7.1,,,,,,,,
289,Nikola Jokić,32.8,,,,,,,,
290,Carlik Jones,-1.8,,,,,,,,
294,Jemerrio Jones,14.8,,,,,,,,
301,Georgios Kalaitzakis,8.6,,,,,,,,
302,Frank Kaminsky,21.3,,,,,,,,
305,George King,-12.3,,,,,,,,
306,Louis King,8.1,,,,,,,,
309,Brandon Knight,13.0,,,,,,,,
311,Kevin Knox,10.9,,,,,,,,
341,Timothé Luwawu-Cabarrot,9.3,,,,,,,,
343,Théo Maledon,10.6,,,,,,,,
347,Boban Marjanović,18.5,,,,,,,,
352,Kelan Martin,9.4,,,,,,,,
355,Dakota Mathias,11.0,,,,,,,,
367,Cameron McGriff,12.5,,,,,,,,
369,Alfonzo McKinnie,5.6,,,,,,,,
370,JaQuori McLaughlin,-2.9,,,,,,,,
374,Sam Merrill,7.5,,,,,,,,
377,C.J. Miles,-7.8,,,,,,,,
388,Matt Mooney,-20.0,,,,,,,,
391,Jaylen Morris,-11.4,,,,,,,,
392,Marcus Morris,13.7,,,,,,,,
395,Emmanuel Mudiay,12.3,,,,,,,,
397,Ade Murkey,0.0,,,,,,,,
402,Abdel Nader,4.9,,,,,,,,
407,Malik Newman,28.6,,,,,,,,
414,Jusuf Nurkić,20.0,,,,,,,,
418,Semi Ojeleye,6.7,,,,,,,,
423,KZ Okpala,10.4,,,,,,,,
425,Cameron Oliver,21.4,,,,,,,,
427,Eugene Omoruyi,17.0,,,,,,,,
428,Miye Oni,0.4,,,,,,,,
430,Daniel Oturu,13.4,,,,,,,,
432,Jaysean Paige,-22.2,,,,,,,,
433,Trayvon Palmer,-5.7,,,,,,,,
434,Kevin Pangos,6.5,,,,,,,,
435,Jabari Parker,14.8,,,,,,,,
441,Norvel Pelle,12.2,,,,,,,,
442,Reggie Perry,15.6,,,,,,,,
454,Kristaps Porziņģis,23.7,,,,,,,,
455,Micah Potter,13.6,,,,,,,,
465,Jahmi'us Ramsey,7.9,,,,,,,,
476,Justin Robinson,3.6,,,,,,,,
488,Olivier Sarr,14.0,,,,,,,,
489,Tomáš Satoranský,10.2,,,,,,,,
492,Dennis Schröder,13.0,,,,,,,,
493,Tre Scott,20.4,,,,,,,,
495,Wayne Selden,4.3,,,,,,,,
496,Alperen Şengün,16.0,,,,,,,,
501,Chris Silva,11.6,,,,,,,,
504,Zavier Simpson,7.7,,,,,,,,
506,Deividas Sirvydis,0.1,,,,,,,,
509,Dennis Smith Jr.,13.2,,,,,,,,
515,Cassius Stanley,8.0,,,,,,,,
522,Craig Sword,14.2,,,,,,,,
523,Keifer Sykes,5.9,,,,,,,,
528,Emanuel Terry,-0.1,,,,,,,,
530,Jon Teske,1.5,,,,,,,,
541,Xavier Tillman Sr.,15.1,,,,,,,,
550,Jonas Valančiūnas,21.2,,,,,,,,
551,Denzel Valentine,8.1,,,,,,,,
556,Nikola Vučević,18.2,,,,,,,,
563,M.J. Walker,-3.3,,,,,,,,
564,Tyrone Wallace,2.5,,,,,,,,
565,Derrick Walton,5.9,,,,,,,,
566,Brad Wanamaker,7.5,,,,,,,,
571,Tremont Waters,5.4,,,,,,,,
573,Paul Watson,5.7,,,,,,,,
588,Robert Williams,22.1,,,,,,,,
590,D.J. Wilson,27.9,,,,,,,,
603,Cody Zeller,17.2,,,,,,,,
605,,,Kevin Knox II,6-7,215,22.0,Kentucky,Atlanta Hawks,Atlanta,AUG
606,,,Timothe Luwawu-Cabarrot,6-7,215,27.0,                                   ,Atlanta Hawks,Atlanta,MAY
607,,,Bogdan Bogdanovic,6-6,225,29.0,Fenerbahce,Atlanta Hawks,Atlanta,AUG
608,,,Robert Williams III,6-9,237,24.0,Texas A&M,Boston Celtics,Boston,OCT
609,,,Zion Williamson,6-6,284,21.0,Duke,New Orleans Pelicans,New Orleans,JUL
610,,,Willy Hernangomez,6-11,250,28.0,Cajasol Sevilla,New Orleans Pelicans,New Orleans,MAY
611,,,Jonas Valanciunas,6-11,265,30.0,Lietuvos rytas Vilnius,New Orleans Pelicans,New Orleans,MAY
612,,,Nikola Vucevic,6-10,260,31.0,Southern California,Chicago Bulls,Chicago,OCT
613,,,Davis Bertans,6-10,225,29.0,Baskonia,Dallas Mavericks,Dallas,NOV
614,,,Boban Marjanovic,7-3,290,33.0,Crvena zvezda,Dallas Mavericks,Dallas,AUG
615,,,Luka Doncic,6-7,230,23.0,Real Madrid,Dallas Mavericks,Dallas,FEB
616,,,Nikola Jokic,6-11,284,27.0,Mega Basket,Denver Nuggets,Denver,FEB
617,,,Jamal Murray,6-3,215,25.0,Kentucky,Denver Nuggets,Denver,FEB
618,,,Vlatko Cancar,6-8,236,25.0,San Pablo Burgos,Denver Nuggets,Denver,APR
619,,,James Wiseman,7-0,240,21.0,Memphis,Golden State Warriors,Golden State,MAR
620,,,John Wall,6-3,210,31.0,Kentucky,Houston Rockets,Houston,SEP
621,,,Dennis Schroder,6-1,172,28.0,Braunschweig,Houston Rockets,Houston,SEP
622,,,Alperen Sengun,6-10,243,19.0,Besiktas,Houston Rockets,Houston,JUL
623,,,Kawhi Leonard,6-7,225,31.0,San Diego State,Los Angeles Clippers,Los Angeles,JUN
624,,,Marcus Morris Sr.,6-8,218,32.0,Kansas,Los Angeles Clippers,Los Angeles,SEP
