Player ID,Player Name,Height,Weight,Birthday,Age,School,Team ID,Team Name,City,Birth Month
1626153,Delon Wright,6-5,185,"APR 26, 1992",30.0,Utah,1610612737,Atlanta Hawks,Atlanta,APR
1630552,Jalen Johnson,6-8,219,"DEC 18, 2001",20.0,Duke,1610612737,Atlanta Hawks,Atlanta,DEC
1630536,Sharife Cooper,6-1,176,"JUN 11, 2001",21.0,Auburn,1610612737,Atlanta Hawks,Atlanta,JUN
1628989,Kevin Huerter,6-7,198,"AUG 27, 1998",23.0,Maryland,1610612737,Atlanta Hawks,Atlanta,AUG
1630219,Skylar Mays,6-4,205,"SEP 05, 1997",24.0,Louisiana State,1610612737,Atlanta Hawks,Atlanta,SEP
1628995,Kevin Knox II,6-7,215,"AUG 11, 1999",22.0,Kentucky,1610612737,Atlanta Hawks,Atlanta,AUG
101150,Lou Williams,6-2,175,"OCT 27, 1986",35.0,South Gwinnett HS (GA),1610612737,Atlanta Hawks,Atlanta,OCT
1627789,Timothe Luwawu-Cabarrot,6-7,215,"MAY 09, 1995",27.0,                                   ,1610612737,Atlanta Hawks,Atlanta,MAY
201568,Danilo Gallinari,6-10,236,"AUG 08, 1988",33.0,Olimpia Milano,1610612737,Atlanta Hawks,Atlanta,AUG
203476,Gorgui Dieng,6-10,248,"JAN 18, 1990",32.0,Louisville,1610612737,Atlanta Hawks,Atlanta,JAN
1629027,Trae Young,6-1,164,"SEP 19, 1998",23.0,Oklahoma,1610612737,Atlanta Hawks,Atlanta,SEP
1629631,De'Andre Hunter,6-8,221,"DEC 02, 1997",24.0,Virginia,1610612737,Atlanta Hawks,Atlanta,DEC
203992,Bogdan Bogdanovic,6-6,225,"AUG 18, 1992",29.0,Fenerbahce,1610612737,Atlanta Hawks,Atlanta,AUG
203991,Clint Capela,6-10,256,"MAY 18, 1994",28.0,Elan Chalon,1610612737,Atlanta Hawks,Atlanta,MAY
1630168,Onyeka Okongwu,6-8,240,"DEC 11, 2000",21.0,Southern California,1610612737,Atlanta Hawks,Atlanta,DEC
1628381,John Collins,6-9,226,"SEP 23, 1997",24.0,Wake Forest,1610612737,Atlanta Hawks,Atlanta,SEP
1630602,Chaundee Brown Jr.,6-5,215,"DEC 04, 1998",23.0,Michigan,1610612737,Atlanta Hawks,Atlanta,DEC
1630346,Matt Ryan,6-7,215,"APR 17, 1997",25.0,Tennessee-Chattanooga,1610612738,Boston Celtics,Boston,APR
1628369,Jayson Tatum,6-8,210,"MAR 03, 1998",24.0,Duke,1610612738,Boston Celtics,Boston,MAR
1627759,Jaylen Brown,6-6,223,"OCT 24, 1996",25.0,California,1610612738,Boston Celtics,Boston,OCT
1630238,Malik Fitts,6-5,230,"JUL 04, 1997",24.0,St. Mary's College,1610612738,Boston Celtics,Boston,JUL
1628401,Derrick White,6-4,190,"JUL 02, 1994",27.0,Colorado,1610612738,Boston Celtics,Boston,JUL
1630202,Payton Pritchard,6-1,195,"JAN 28, 1998",24.0,Oregon,1610612738,Boston Celtics,Boston,JAN
1629684,Grant Williams,6-6,236,"NOV 30, 1998",23.0,Tennessee,1610612738,Boston Celtics,Boston,NOV
203917,Nik Stauskas,6-6,207,"OCT 07, 1993",28.0,Michigan,1610612738,Boston Celtics,Boston,OCT
1629752,Juwan Morgan,6-7,232,"APR 17, 1997",25.0,Indiana,1610612738,Boston Celtics,Boston,APR
1630174,Aaron Nesmith,6-5,215,"OCT 16, 1999",22.0,Vanderbilt,1610612738,Boston Celtics,Boston,OCT
1628464,Daniel Theis,6-9,245,"APR 04, 1992",30.0,Brose Bamberg,1610612738,Boston Celtics,Boston,APR
1630573,Sam Hauser,6-7,217,"DEC 08, 1997",24.0,Virginia,1610612738,Boston Celtics,Boston,DEC
203935,Marcus Smart,6-4,220,"MAR 06, 1994",28.0,Oklahoma State,1610612738,Boston Celtics,Boston,MAR
1628436,Luke Kornet,7-2,250,"JUL 15, 1995",26.0,Vanderbilt,1610612738,Boston Celtics,Boston,JUL
201143,Al Horford,6-9,240,"JUN 03, 1986",36.0,Florida,1610612738,Boston Celtics,Boston,JUN
1629057,Robert Williams III,6-9,237,"OCT 17, 1997",24.0,Texas A&M,1610612738,Boston Celtics,Boston,OCT
1630271,Brodric Thomas,6-5,185,"JAN 28, 1997",25.0,,1610612738,Boston Celtics,Boston,JAN
201567,Kevin Love,6-8,251,"SEP 07, 1988",33.0,UCLA,1610612739,Cleveland Cavaliers,Cleveland,SEP
1629164,Brandon Goodwin,6-0,180,"OCT 02, 1995",26.0,Florida Gulf Coast,1610612739,Cleveland Cavaliers,Cleveland,OCT
200765,Rajon Rondo,6-1,180,"FEB 22, 1986",36.0,Kentucky,1610612739,Cleveland Cavaliers,Cleveland,FEB
1629012,Collin Sexton,6-1,190,"JAN 04, 1999",23.0,Alabama,1610612739,Cleveland Cavaliers,Cleveland,JAN
1627747,Caris LeVert,6-6,205,"AUG 25, 1994",27.0,Michigan,1610612739,Cleveland Cavaliers,Cleveland,AUG
1630596,Evan Mobley,6-11,215,"JUN 18, 2001",21.0,Southern California,1610612739,Cleveland Cavaliers,Cleveland,JUN
1630612,RJ Nembhard Jr.,6-4,200,"MAR 22, 1999",23.0,Texas Christian,1610612739,Cleveland Cavaliers,Cleveland,MAR
1629650,Moses Brown,7-2,245,"OCT 13, 1999",22.0,UCLA,1610612739,Cleveland Cavaliers,Cleveland,OCT
1630205,Lamar Stevens,6-6,230,"JUL 09, 1997",24.0,Penn State,1610612739,Cleveland Cavaliers,Cleveland,JUL
1629685,Dylan Windler,6-6,196,"SEP 22, 1996",25.0,Belmont,1610612739,Cleveland Cavaliers,Cleveland,SEP
1629636,Darius Garland,6-1,192,"JAN 26, 2000",22.0,Vanderbilt,1610612739,Cleveland Cavaliers,Cleveland,JAN
1626224,Cedi Osman,6-7,230,"APR 08, 1995",27.0,Anadolu Efes,1610612739,Cleveland Cavaliers,Cleveland,APR
202334,Ed Davis,6-9,218,"JUN 05, 1989",33.0,North Carolina,1610612739,Cleveland Cavaliers,Cleveland,JUN
1628374,Lauri Markkanen,6-11,240,"MAY 22, 1997",25.0,Arizona,1610612739,Cleveland Cavaliers,Cleveland,MAY
1628386,Jarrett Allen,6-10,243,"APR 21, 1998",24.0,Texas,1610612739,Cleveland Cavaliers,Cleveland,APR
1629731,Dean Wade,6-9,228,"NOV 20, 1996",25.0,Kansas State,1610612739,Cleveland Cavaliers,Cleveland,NOV
1630171,Isaac Okoro,6-5,225,"JAN 26, 2001",21.0,Auburn,1610612739,Cleveland Cavaliers,Cleveland,JAN
1629627,Zion Williamson,6-6,284,"JUL 06, 2000",21.0,Duke,1610612740,New Orleans Pelicans,New Orleans,JUL
1629607,Jared Harper,5-10,175,"SEP 14, 1997",24.0,Auburn,1610612740,New Orleans Pelicans,New Orleans,SEP
203468,CJ McCollum,6-3,190,"SEP 19, 1991",30.0,Lehigh,1610612740,New Orleans Pelicans,New Orleans,SEP
1628984,Devonte' Graham,6-1,195,"FEB 22, 1995",27.0,Kansas,1610612740,New Orleans Pelicans,New Orleans,FEB
1630529,Herbert Jones,6-7,206,"OCT 06, 1998",23.0,Alabama,1610612740,New Orleans Pelicans,New Orleans,OCT
1630230,Naji Marshall,6-7,220,"JAN 24, 1998",24.0,Xavier,1610612740,New Orleans Pelicans,New Orleans,JAN
1626195,Willy Hernangomez,6-11,250,"MAY 27, 1994",28.0,Cajasol Sevilla,1610612740,New Orleans Pelicans,New Orleans,MAY
1629637,Jaxson Hayes,6-11,220,"MAY 23, 2000",22.0,Texas,1610612740,New Orleans Pelicans,New Orleans,MAY
1629109,Gary Clark,6-6,225,"NOV 16, 1994",27.0,Cincinnati,1610612740,New Orleans Pelicans,New Orleans,NOV
1630184,Kira Lewis Jr.,6-1,170,"APR 06, 2001",21.0,Alabama,1610612740,New Orleans Pelicans,New Orleans,APR
1627742,Brandon Ingram,6-8,190,"SEP 02, 1997",24.0,Duke,1610612740,New Orleans Pelicans,New Orleans,SEP
1630631,Jose Alvarado,6-0,179,"APR 12, 1998",24.0,Georgia Tech,1610612740,New Orleans Pelicans,New Orleans,APR
202685,Jonas Valanciunas,6-11,265,"MAY 06, 1992",30.0,Lietuvos rytas Vilnius,1610612740,New Orleans Pelicans,New Orleans,MAY
203503,Tony Snell,6-6,213,"NOV 10, 1991",30.0,New Mexico,1610612740,New Orleans Pelicans,New Orleans,NOV
1626204,Larry Nance Jr.,6-7,245,"JAN 01, 1993",29.0,Wyoming,1610612740,New Orleans Pelicans,New Orleans,JAN
1630530,Trey Murphy III,6-8,206,"JUN 18, 2000",22.0,Virginia,1610612740,New Orleans Pelicans,New Orleans,JUN
202066,Garrett Temple,6-5,195,"MAY 08, 1986",36.0,Louisiana State,1610612740,New Orleans Pelicans,New Orleans,MAY
1629632,Coby White,6-4,195,"FEB 16, 2000",22.0,North Carolina,1610612741,Chicago Bulls,Chicago,FEB
1628366,Lonzo Ball,6-6,190,"OCT 27, 1997",24.0,UCLA,1610612741,Chicago Bulls,Chicago,OCT
202684,Tristan Thompson,6-9,254,"MAR 13, 1991",31.0,University of Texas at Austin,1610612741,Chicago Bulls,Chicago,MAR
1627884,Derrick Jones Jr.,6-6,210,"FEB 15, 1997",25.0,UNLV,1610612741,Chicago Bulls,Chicago,FEB
1627936,Alex Caruso,6-5,186,"FEB 28, 1994",28.0,Texas A&M,1610612741,Chicago Bulls,Chicago,FEB
1628972,Troy Brown Jr.,6-6,215,"JUL 28, 1999",22.0,Oregon,1610612741,Chicago Bulls,Chicago,JUL
203897,Zach LaVine,6-5,200,"MAR 10, 1995",27.0,UCLA,1610612741,Chicago Bulls,Chicago,MAR
202696,Nikola Vucevic,6-10,260,"OCT 24, 1990",31.0,Southern California,1610612741,Chicago Bulls,Chicago,OCT
201942,DeMar DeRozan,6-6,220,"AUG 07, 1989",32.0,Southern California,1610612741,Chicago Bulls,Chicago,AUG
1630245,Ayo Dosunmu,6-4,200,"JAN 17, 2000",22.0,Illinois,1610612741,Chicago Bulls,Chicago,JAN
1628396,Tony Bradley,6-10,248,"JAN 08, 1998",24.0,North Carolina,1610612741,Chicago Bulls,Chicago,JAN
1630792,Malcolm Hill,6-6,220,"OCT 26, 1995",26.0,Illinois,1610612741,Chicago Bulls,Chicago,OCT
1630250,Marko Simonovic,6-11,220,"OCT 15, 1999",22.0,Mega Basket,1610612741,Chicago Bulls,Chicago,OCT
1629744,Matt Thomas,6-3,190,"AUG 04, 1994",27.0,Iowa State,1610612741,Chicago Bulls,Chicago,AUG
1629750,Javonte Green,6-5,205,"JUL 23, 1993",28.0,Radford,1610612741,Chicago Bulls,Chicago,JUL
1629076,Tyler Cook,6-8,255,"SEP 23, 1997",24.0,Iowa,1610612741,Chicago Bulls,Chicago,SEP
1630172,Patrick Williams,6-7,215,"AUG 26, 2001",20.0,Florida State,1610612741,Chicago Bulls,Chicago,AUG
1628425,Sterling Brown,6-5,219,"FEB 10, 1995",27.0,Southern Methodist,1610612742,Dallas Mavericks,Dallas,FEB
1629033,Theo Pinson,6-5,212,"NOV 05, 1995",26.0,North Carolina,1610612742,Dallas Mavericks,Dallas,NOV
203504,Trey Burke,6-0,185,"NOV 12, 1992",29.0,Michigan,1610612742,Dallas Mavericks,Dallas,NOV
1630589,Moses Wright,6-8,226,"DEC 23, 1998",23.0,Georgia Tech,1610612742,Dallas Mavericks,Dallas,DEC
203939,Dwight Powell,6-10,240,"JUL 20, 1991",30.0,Stanford,1610612742,Dallas Mavericks,Dallas,JUL
1630182,Josh Green,6-5,200,"NOV 16, 2000",21.0,Arizona,1610612742,Dallas Mavericks,Dallas,NOV
1627827,Dorian Finney-Smith,6-7,220,"MAY 04, 1993",29.0,Florida,1610612742,Dallas Mavericks,Dallas,MAY
203501,Tim Hardaway Jr.,6-5,205,"MAR 16, 1992",30.0,Michigan,1610612742,Dallas Mavericks,Dallas,MAR
1628973,Jalen Brunson,6-1,190,"AUG 31, 1996",25.0,Villanova,1610612742,Dallas Mavericks,Dallas,AUG
1628373,Frank Ntilikina,6-4,200,"JUL 28, 1998",23.0,Strasbourg IG,1610612742,Dallas Mavericks,Dallas,JUL
203493,Reggie Bullock,6-6,205,"MAR 16, 1991",31.0,North Carolina,1610612742,Dallas Mavericks,Dallas,MAR
203915,Spencer Dinwiddie,6-6,215,"APR 06, 1993",29.0,Colorado,1610612742,Dallas Mavericks,Dallas,APR
1627737,Marquese Chriss,6-9,240,"JUL 02, 1997",24.0,Washington,1610612742,Dallas Mavericks,Dallas,JUL
1628467,Maxi Kleber,6-10,240,"JAN 29, 1992",30.0,Bayern Munich,1610612742,Dallas Mavericks,Dallas,JAN
202722,Davis Bertans,6-10,225,"NOV 12, 1992",29.0,Baskonia,1610612742,Dallas Mavericks,Dallas,NOV
1626246,Boban Marjanovic,7-3,290,"AUG 15, 1988",33.0,Crvena zvezda,1610612742,Dallas Mavericks,Dallas,AUG
1629029,Luka Doncic,6-7,230,"FEB 28, 1999",23.0,Real Madrid,1610612742,Dallas Mavericks,Dallas,FEB
1630210,Markus Howard,5-10,175,"MAR 03, 1999",23.0,Marquette,1610612743,Denver Nuggets,Denver,MAR
203210,JaMychal Green,6-8,227,"JUN 21, 1990",32.0,Alabama,1610612743,Denver Nuggets,Denver,JUN
