,Player ID,Player Name,Height,Weight,Birthday,Age,School,Team ID,TEAM_NAME,TEAM_CITY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Player,PER,G
0,1626153,Delon Wright,6-5,185,"APR 26, 1992",30.0,Utah,1610612737,Wizards,Washington,2015,1.0,20.0,Delon Wright,13.8,77.0
1,1630552,Jalen Johnson,6-8,219,"DEC 18, 2001",20.0,Duke,1610612737,Hawks,Atlanta,2021,1.0,20.0,Jalen Johnson,11.3,22.0
2,1630536,Sharife Cooper,6-1,176,"JUN 11, 2001",21.0,Auburn,1610612737,Hawks,Atlanta,2021,2.0,48.0,Sharife Cooper,-5.4,13.0
3,1628989,Kevin Huerter,6-7,198,"AUG 27, 1998",23.0,Maryland,1610612737,Kings,Sacramento,2018,1.0,19.0,Kevin Huerter,11.9,74.0
4,1630219,Skylar Mays,6-4,205,"SEP 05, 1997",24.0,Louisiana State,1610612737,Hawks,Atlanta,2020,2.0,50.0,Skylar Mays,11.7,28.0
5,1628995,Kevin Knox II,6-7,215,"AUG 11, 1999",22.0,Kentucky,1610612737,Pistons,Detroit,2018,1.0,9.0,Kevin Knox II,10.9,30.0
6,101150,Lou Williams,6-2,175,"OCT 27, 1986",35.0,South Gwinnett HS (GA),1610612737,Hawks,Atlanta,2005,2.0,45.0,Lou Williams,12.1,56.0
7,1627789,Timothe Luwawu-Cabarrot,6-7,215,"MAY 09, 1995",27.0,                                   ,1610612737,Hawks,Atlanta,2016,1.0,24.0,Timothe Luwawu-Cabarrot,9.3,52.0
8,201568,Danilo Gallinari,6-10,236,"AUG 08, 1988",33.0,Olimpia Milano,1610612737,Celtics,Boston,2008,1.0,6.0,Danilo Gallinari,14.3,66.0
9,203476,Gorgui Dieng,6-10,248,"JAN 18, 1990",32.0,Louisville,1610612737,Spurs,San Antonio,2013,1.0,21.0,Gorgui Dieng,17.3,44.0
10,1629027,Trae Young,6-1,164,"SEP 19, 1998",23.0,Oklahoma,1610612737,Hawks,Atlanta,2018,1.0,5.0,Trae Young,25.4,76.0
