,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,/players/a/abdelal01.html
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State,/players/a/abdulza01.html
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947",UCLA,/players/a/abdulka01.html
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU,/players/a/abdulma02.html
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",/players/a/abdulta01.html
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California,/players/a/abdursh01.html
6,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana,/players/a/abernto01.html
7,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky,/players/a/ablefo01.html
8,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University,/players/a/abramjo01.html
9,Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",,/players/a/abrinal01.html
10,Precious Achiuwa,2021,2023,F,6-8,225,"September 19, 1999",Memphis,/players/a/achiupr01.html
11,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,/players/a/ackeral01.html
12,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,/players/a/ackerdo01.html
13,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,/players/a/acresma01.html
14,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,/players/a/actonbu01.html
15,Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,/players/a/acyqu01.html
16,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,/players/a/adamsal01.html
17,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern,/players/a/adamsdo01.html
18,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,/players/a/adamsge01.html
19,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona,/players/a/adamsha01.html
20,Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,/players/a/adamsja01.html
21,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA,/players/a/adamsjo01.html
22,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,/players/a/adamsmi01.html
23,Steven Adams,2014,2023,C,6-11,265,"July 20, 1993",Pitt,/players/a/adamsst01.html
24,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,/players/a/addisra01.html
25,Bam Adebayo,2018,2023,C-F,6-9,255,"July 18, 1997",Kentucky,/players/a/adebaba01.html
26,Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville,/players/a/adelde01.html
27,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,/players/a/adelmri01.html
28,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn,/players/a/adrieje01.html
29,Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,/players/a/afflaar01.html
30,Ochai Agbaji,2023,2023,G,6-5,215,"April 20, 2000",Kansas,/players/a/agbajoc01.html
31,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,/players/a/agerma01.html
32,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,/players/a/aguirma01.html
33,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,/players/a/ahearbl01.html
34,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",BYU,/players/a/aingeda01.html
35,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State,/players/a/aitchma01.html
36,Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",,/players/a/ajincal01.html
37,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,/players/a/akinhe01.html
38,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",/players/a/akognjo01.html
39,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,/players/a/akoonde01.html
40,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State,/players/a/alabiso01.html
41,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke,/players/a/alarima01.html
42,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",Fresno State,/players/a/alcorga01.html
43,Santi Aldama,2022,2023,F,6-11,224,"January 10, 2001",Loyola (MD),/players/a/aldamsa01.html
44,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,/players/a/aldemfu01.html
45,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas,/players/a/aldrico01.html
46,LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",Texas,/players/a/aldrila01.html
47,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",/players/a/aleksch01.html
48,Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas,/players/a/alexacl01.html
49,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia,/players/a/alexaco01.html
50,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",/players/a/alexaco02.html
51,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida,/players/a/alexaga01.html
52,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia,/players/a/alexajo01.html
53,Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee,/players/a/alexaky01.html
54,Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",Creighton,/players/a/alexaty01.html
55,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State,/players/a/alexavi01.html
56,Nickeil Alexander-Walker,2020,2023,G,6-6,205,"September 2, 1998",Virginia Tech,/players/a/alexani01.html
57,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana,/players/a/alforst01.html
58,Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona,/players/a/alkinra01.html
59,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State,/players/a/allenbi01.html
60,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall,/players/a/allenbo01.html
61,Grayson Allen,2019,2023,G,6-4,198,"October 8, 1995",Duke,/players/a/allengr01.html
62,Jarrett Allen,2018,2023,C-F,6-11,243,"April 21, 1998",Texas,/players/a/allenja01.html
63,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn,/players/a/allenje01.html
64,Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona,/players/a/allenka01.html
65,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple,/players/a/allenla01.html
66,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947",UCLA,/players/a/allenlu01.html
