,Player,From,To,Colleges,HTML Reference,Date,City,Country,State
0,Alex Abrines,2017.0,2019.0,,/players/a/abrinal01.html,"Aug 1, 1993",Palma de Mallorca,ES,
1,Alexis Ajinca,2009.0,2017.0,,/players/a/ajincal01.html,"May 6, 1988",Saint-Etienne,FR,
2,Furkan Aldemir,2015.0,2015.0,,/players/a/aldemfu01.html,"Aug 9, 1991",Konak,TR,
3,David Andersen,2010.0,2011.0,,/players/a/anderda03.html,"Jun 23, 1980",Melbourne,AU,
4,Martynas Andriuskevicius,2006.0,2006.0,,/players/a/andrima01.html,"Mar 12, 1986",Kaunas,LT,
5,Chris Anstey,1998.0,2000.0,,/players/a/anstech01.html,"Jan 1, 1975",Melbourne,AU,
6,Giannis Antetokounmpo,2014.0,2023.0,,/players/a/antetgi01.html,"Dec 6, 1994",Athens,GR,
7,Thanasis Antetokounmpo,2016.0,2023.0,,/players/a/antetth01.html,"Jul 18, 1992",Athens,GR,
8,Pero Antic,2014.0,2015.0,,/players/a/anticpe01.html,"Jul 29, 1982",Skopje,MK,
9,Omer Asik,2011.0,2018.0,,/players/a/asikom01.html,"Jul 4, 1986",Bursa,TR,
10,Deni Avdija,2021.0,2023.0,,/players/a/avdijde01.html,"Jan 3, 2001",Beit Zera,IL,
11,Gustavo Ayon,2012.0,2014.0,,/players/a/ayongu01.html,"Apr 1, 1985",Tepic,MX,
12,Dalibor Bagaric,2001.0,2003.0,,/players/b/bagarda01.html,"Feb 7, 1980",Munich,DE,
13,Norm Baker,1947.0,1947.0,,/players/b/bakerno01.html,"Feb 17, 1923",Victoria,CA,
14,LaMelo Ball,2021.0,2022.0,,/players/b/ballla01.html,"Aug 22, 2001",Anaheim,US,CA
15,Leandro Barbosa,2004.0,2017.0,,/players/b/barbole01.html,"Nov 28, 1982",Sao Paulo,BR,
16,Andrea Bargnani,2007.0,2016.0,,/players/b/bargnan01.html,"Oct 26, 1985",Rome,IT,
17,Mengke Bateer,2002.0,2004.0,,/players/b/bateeme01.html,"Nov 20, 1975",Beijing,CN,
18,Esteban Batista,2006.0,2007.0,,/players/b/batises01.html,"Sep 2, 1983",Montevideo,UY,
19,Nicolas Batum,2009.0,2023.0,,/players/b/batumni01.html,"Dec 14, 1988",Lisieux,FR,
20,Sergei Bazarevich,1995.0,1995.0,,/players/b/bazarse01.html,"Mar 16, 1965",Moscow,RU,
21,Darius Bazley,2020.0,2023.0,,/players/b/bazleda01.html,"Jun 12, 2000",Boston,US,MA
