,Unnamed: 0,Player,Player City,Country,Team City,PER,Player Int Full City,Lat,Lng
0,0,Danilo Gallinari,Sant'Angelo Lodigiano,IT,Atlanta,14.3,"Sant'Angelo Lodigiano, IT",45.2323253,9.412306899999999
1,1,Gorgui Dieng,Kebemer,SN,Atlanta,17.3,"Kebemer, SN",15.3763381,-16.4464766
2,2,Clint Capela,Geneva,CH,Atlanta,21.4,"Geneva, CH",46.2043907,6.1431577
3,3,Nik Stauskas,Mississauga,CA,Boston,10.5,"Mississauga, CA",43.5890452,-79.6441198
4,4,Daniel Theis,Salzgitter,DE,Boston,13.2,"Salzgitter, DE",52.13786589999999,10.3899126
5,5,Al Horford,Puerto Plata,DO,Boston,16.7,"Puerto Plata, DO",19.7807686,-70.6871091
6,6,Cedi Osman,Ohrid,MK,Cleveland,13.3,"Ohrid, MK",41.1230977,20.8016481
7,7,Lauri Markkanen,Vantaa,FI,Cleveland,14.7,"Vantaa, FI",60.29335239999999,25.0377686
8,8,Tristan Thompson,Toronto,CA,Chicago,14.9,"Toronto, CA",43.653226,-79.3831843
9,9,Marko Simonovic,Kolašin,ME,Chicago,10.2,"Kolašin, ME",42.7601916,19.4259114
10,10,Dwight Powell,Toronto,CA,Dallas,18.1,"Toronto, CA",43.653226,-79.3831843
11,11,Josh Green,Sydney,AU,Dallas,11.9,"Sydney, AU",-33.8688197,151.2092955
12,12,Frank Ntilikina,Ixelles,BE,Dallas,10.4,"Ixelles, BE",50.8335711,4.366433
13,13,Maxi Kleber,Wurzburg,DE,Dallas,11.0,"Wurzburg, DE",49.79130439999999,9.9533548
14,14,Facundo Campazzo,Córdoba,AR,Denver,11.1,"Córdoba, AR",-31.42008329999999,-64.1887761
15,15,Jonathan Kuminga,Goma,CD,Golden State,15.2,"Goma, CD",,
16,16,Nemanja Bjelica,Belgrade,RS,Golden State,14.2,"Belgrade, RS",44.8125449,20.46123
17,17,Andrew Wiggins,Toronto,CA,Golden State,15.0,"Toronto, CA",43.653226,-79.3831843
18,18,Usman Garuba,Azuqueca de Henares,ES,Houston,12.9,"Azuqueca de Henares, ES",40.5648765,-3.2680616
19,19,Bruno Fernando,Luanda,AO,Houston,21.2,"Luanda, AO",-8.8146556,13.2301756
20,20,Reggie Jackson,Pordenone,IT,Los Angeles,12.1,"Pordenone, IT",45.96263980000001,12.6551362
21,21,Nicolas Batum,Lisieux,FR,Los Angeles,13.5,"Lisieux, FR",49.145922,0.227849
22,22,Ivica Zubac,Mostar,BA,Los Angeles,19.2,"Mostar, BA",43.34377480000001,17.8077578
23,23,Wenyen Gabriel,Khartoum,SD,Los Angeles,12.5,"Khartoum, SD",15.5006544,32.5598994
24,24,Mychal Mulder,Etobicoke,CA,Miami,3.7,"Etobicoke, CA",43.6204946,-79.5131983
25,25,Omer Yurtseven,Istanbul,TR,Miami,17.4,"Istanbul, TR",41.0082376,28.9783589
26,26,Serge Ibaka,Brazzaville,CG,Milwaukee,14.4,"Brazzaville, CG",-4.2633597,15.2428853
27,27,Lindell Wigginton,Halifax,CA,Milwaukee,10.2,"Halifax, CA",44.6475811,-63.5727683
28,28,Giannis Antetokounmpo,Athens,GR,Milwaukee,32.1,"Athens, GR",37.9838096,23.7275388
29,29,Thanasis Antetokounmpo,Athens,GR,Milwaukee,12.5,"Athens, GR",37.9838096,23.7275388
30,30,Leandro Bolmaro,Las Varillas,AR,Minnesota,5.4,"Las Varillas, AR",-31.8722985,-62.7213671
31,31,Josh Okogie,Lagos,NG,Minnesota,9.0,"Lagos, NG",6.5243793,3.3792057
32,32,Patty Mills,Canberra,AU,Brooklyn,10.4,"Canberra, AU",-35.2801903,149.1310038
33,33,Kyrie Irving,Melbourne,AU,Brooklyn,21.4,"Melbourne, AU",-37.8136276,144.9630576
34,34,Cam Thomas,Yokosuka,JP,Brooklyn,11.7,"Yokosuka, JP",35.281498,139.6721655
35,35,RJ Barrett,Toronto,CA,New York,13.7,"Toronto, CA",43.653226,-79.3831843
