,Player,Colleges,PER
0,Delon Wright,Utah,13.8
1,Jalen Johnson,Duke,11.3
2,Kevin Huerter,Maryland,11.9
3,Skylar Mays,LSU,11.7
4,Lou Williams,SouthGwinnettHS(GA),12.1
5,Danilo Gallinari,OlimpiaMilano,14.3
6,Gorgui Dieng,Louisville,17.3
7,Trae Young,Oklahoma,25.4
8,De'Andre Hunter,Virginia,10.6
9,Clint Capela,ElanChalon,21.4
10,Onyeka Okongwu,USC,19.8
11,John Collins,WakeForest,18.7
12,Chaundee Brown Jr.,WakeForest,6.4
13,Chaundee Brown Jr.,Michigan,6.4
14,Matt Ryan,NotreDame,3.5
15,Matt Ryan,Vanderbilt,3.5
16,Matt Ryan,Chattanooga,3.5
17,Jayson Tatum,Duke,21.8
18,Jaylen Brown,California,18.9
19,Malik Fitts,SouthFlorida,10.7
20,Malik Fitts,SaintMary's,10.7
21,Derrick White,Colorado-ColoradoSprings,14.8
22,Derrick White,Colorado,14.8
23,Payton Pritchard,Oregon,15.0
24,Grant Williams,Tennessee,11.2
25,Nik Stauskas,Michigan,10.5
26,Juwan Morgan,Indiana,8.3
27,Aaron Nesmith,Vanderbilt,7.3
28,Sam Hauser,Marquette,14.8
29,Sam Hauser,Virginia,14.8
30,Marcus Smart,OklahomaState,13.6
31,Luke Kornet,Vanderbilt,16.6
32,Al Horford,Florida,16.7
33,Brodric Thomas,TrumanStateUniversity,10.0
34,Kevin Love,UCLA,19.6
35,Brandon Goodwin,CentralFlorida,11.8
36,Brandon Goodwin,FloridaGulfCoast,11.8
37,Rajon Rondo,Kentucky,10.9
38,Collin Sexton,Alabama,11.2
39,Caris LeVert,Michigan,15.1
40,Evan Mobley,USC,16.1
41,RJ Nembhard Jr.,TCU,8.0
42,Moses Brown,UCLA,18.5
43,Lamar Stevens,PennState,11.3
44,Dylan Windler,Belmont,8.8
45,Darius Garland,Vanderbilt,19.0
46,Cedi Osman,AnadoluEfes,13.3
47,Ed Davis,UNC,9.3
48,Lauri Markkanen,Arizona,14.7
49,Jarrett Allen,Texas,23.0
50,Dean Wade,KansasState,10.1
51,Isaac Okoro,Auburn,10.4
52,Jared Harper,Auburn,36.9
53,CJ McCollum,Lehigh,18.3
54,Devonte' Graham,Kansas,12.1
55,Herbert Jones,Alabama,12.3
56,Naji Marshall,Xavier,12.3
57,Jaxson Hayes,Texas,18.5
58,Gary Clark,Cincinnati,11.4
59,Kira Lewis Jr.,Alabama,9.8
60,Brandon Ingram,Duke,18.7
61,Jose Alvarado,GeorgiaTech,16.4
62,Tony Snell,NewMexico,6.3
63,Larry Nance Jr.,Wyoming,14.4
64,Trey Murphy III,RiceUniversity,12.5
65,Trey Murphy III,Virginia,12.5
66,Garrett Temple,LSU,8.6
67,Coby White,UNC,12.6
68,Lonzo Ball,UCLA,14.5
69,Tristan Thompson,Texas,14.9
70,Derrick Jones Jr.,UNLV,13.0
71,Alex Caruso,TexasA&M,11.7
72,Troy Brown Jr.,Oregon,10.1
73,Zach LaVine,UCLA,20.0
74,DeMar DeRozan,USC,23.1
75,Ayo Dosunmu,Illinois,11.2
76,Tony Bradley,UNC,14.9
77,Malcolm Hill,Illinois,12.7
78,Marko Simonovic,MegaBasket,10.2
79,Matt Thomas,IowaState,9.9
80,Javonte Green,Radford,14.0
81,Tyler Cook,Iowa,13.0
82,Patrick Williams,FloridaState,12.7
83,Sterling Brown,SMU,8.4
84,Theo Pinson,UNC,11.9
85,Trey Burke,Michigan,10.0
86,Moses Wright,GeorgiaTech,18.3
87,Dwight Powell,Stanford,18.1
88,Josh Green,Arizona,11.9
89,Dorian Finney-Smith,Florida,12.5
90,Tim Hardaway Jr.,Michigan,12.7
91,Jalen Brunson,Villanova,17.1
92,Frank Ntilikina,StrasbourgIG,10.4
93,Reggie Bullock,UNC,9.2
94,Spencer Dinwiddie,Colorado,15.1
95,Marquese Chriss,Washington,14.8
96,Markus Howard,Marquette,16.1
97,JaMychal Green,Alabama,14.1
98,Michael Porter Jr.,Missouri,7.5
99,Bones Hyland,VCU,14.4
100,DeMarcus Cousins,Kentucky,18.2
101,Will Barton,Memphis,13.4
102,Bryn Forbes,MichiganState,11.5
103,Davon Reed,Miami(FL),12.2
104,Monte Morris,IowaState,14.7
105,Zeke Nnaji,Arizona,13.5
106,Austin Rivers,Duke,7.2
107,Jeff Green,Georgetown,12.5
108,Aaron Gordon,Arizona,15.3
109,Jonathan Kuminga,NBAGLeagueIgnite,15.2
110,Gary Payton II,OregonState,17.8
111,Damion Lee,Drexel,10.9
112,Damion Lee,Louisville,10.9
113,Chris Chiozza,Florida,4.4
114,Jordan Poole,Michigan,16.1
