,Player,Country,PER
0,Delon Wright,US,13.8
1,Jalen Johnson,US,11.3
2,Kevin Huerter,US,11.9
3,Skylar Mays,US,11.7
4,Lou Williams,US,12.1
5,Danilo Gallinari,IT,14.3
6,Gorgui Dieng,SN,17.3
7,Trae Young,US,25.4
8,De'Andre Hunter,US,10.6
9,Clint Capela,CH,21.4
10,Onyeka Okongwu,US,19.8
11,John Collins,US,18.7
12,Chaundee Brown Jr.,US,6.4
13,Chaundee Brown Jr.,US,6.4
14,Matt Ryan,US,3.5
15,Matt Ryan,US,3.5
16,Matt Ryan,US,3.5
17,Jayson Tatum,US,21.8
18,Jaylen Brown,US,18.9
19,Malik Fitts,US,10.7
20,Malik Fitts,US,10.7
21,Derrick White,US,14.8
22,Derrick White,US,14.8
23,Payton Pritchard,US,15.0
24,Grant Williams,US,11.2
25,Nik Stauskas,CA,10.5
26,Juwan Morgan,US,8.3
27,Aaron Nesmith,US,7.3
28,Sam Hauser,US,14.8
29,Sam Hauser,US,14.8
30,Marcus Smart,US,13.6
31,Luke Kornet,US,16.6
32,Al Horford,DO,16.7
33,Brodric Thomas,US,10.0
34,Kevin Love,US,19.6
35,Brandon Goodwin,US,11.8
36,Brandon Goodwin,US,11.8
37,Rajon Rondo,US,10.9
38,Collin Sexton,US,11.2
39,Caris LeVert,US,15.1
40,Evan Mobley,US,16.1
41,RJ Nembhard Jr.,US,8.0
42,Moses Brown,US,18.5
43,Lamar Stevens,US,11.3
44,Dylan Windler,US,8.8
45,Darius Garland,US,19.0
46,Cedi Osman,MK,13.3
47,Ed Davis,US,9.3
48,Lauri Markkanen,FI,14.7
49,Jarrett Allen,US,23.0
50,Dean Wade,US,10.1
51,Isaac Okoro,US,10.4
52,Jared Harper,US,36.9
53,CJ McCollum,US,18.3
54,Devonte' Graham,US,12.1
55,Herbert Jones,US,12.3
56,Naji Marshall,US,12.3
57,Jaxson Hayes,US,18.5
58,Gary Clark,US,11.4
59,Kira Lewis Jr.,US,9.8
60,Brandon Ingram,US,18.7
61,Jose Alvarado,US,16.4
62,Tony Snell,US,6.3
63,Larry Nance Jr.,US,14.4
64,Trey Murphy III,US,12.5
65,Trey Murphy III,US,12.5
66,Garrett Temple,US,8.6
67,Coby White,US,12.6
68,Lonzo Ball,US,14.5
69,Tristan Thompson,CA,14.9
