,Player,Player City,Country,Team City,PER,Player Int Full City
0,Danilo Gallinari,Sant'Angelo Lodigiano,IT,Atlanta,14.3,"Sant'Angelo Lodigiano, IT"
1,Gorgui Dieng,Kebemer,SN,Atlanta,17.3,"Kebemer, SN"
2,Clint Capela,Geneva,CH,Atlanta,21.4,"Geneva, CH"
3,Nik Stauskas,Mississauga,CA,Boston,10.5,"Mississauga, CA"
4,Daniel Theis,Salzgitter,DE,Boston,13.2,"Salzgitter, DE"
5,Al Horford,Puerto Plata,DO,Boston,16.7,"Puerto Plata, DO"
6,Cedi Osman,Ohrid,MK,Cleveland,13.3,"Ohrid, MK"
7,Lauri Markkanen,Vantaa,FI,Cleveland,14.7,"Vantaa, FI"
8,Tristan Thompson,Toronto,CA,Chicago,14.9,"Toronto, CA"
9,Marko Simonovic,Kolašin,ME,Chicago,10.2,"Kolašin, ME"
10,Dwight Powell,Toronto,CA,Dallas,18.1,"Toronto, CA"
11,Josh Green,Sydney,AU,Dallas,11.9,"Sydney, AU"
12,Frank Ntilikina,Ixelles,BE,Dallas,10.4,"Ixelles, BE"
13,Maxi Kleber,Wurzburg,DE,Dallas,11.0,"Wurzburg, DE"
14,Facundo Campazzo,Córdoba,AR,Denver,11.1,"Córdoba, AR"
15,Jonathan Kuminga,Goma,CD,Golden State,15.2,"Goma, CD"
16,Nemanja Bjelica,Belgrade,RS,Golden State,14.2,"Belgrade, RS"
17,Andrew Wiggins,Toronto,CA,Golden State,15.0,"Toronto, CA"
18,Usman Garuba,Azuqueca de Henares,ES,Houston,12.9,"Azuqueca de Henares, ES"
19,Bruno Fernando,Luanda,AO,Houston,21.2,"Luanda, AO"
20,Reggie Jackson,Pordenone,IT,Los Angeles,12.1,"Pordenone, IT"
21,Nicolas Batum,Lisieux,FR,Los Angeles,13.5,"Lisieux, FR"
22,Ivica Zubac,Mostar,BA,Los Angeles,19.2,"Mostar, BA"
23,Wenyen Gabriel,Khartoum,SD,Los Angeles,12.5,"Khartoum, SD"
24,Mychal Mulder,Etobicoke,CA,Miami,3.7,"Etobicoke, CA"
25,Omer Yurtseven,Istanbul,TR,Miami,17.4,"Istanbul, TR"
26,Serge Ibaka,Brazzaville,CG,Milwaukee,14.4,"Brazzaville, CG"
27,Lindell Wigginton,Halifax,CA,Milwaukee,10.2,"Halifax, CA"
28,Giannis Antetokounmpo,Athens,GR,Milwaukee,32.1,"Athens, GR"
29,Thanasis Antetokounmpo,Athens,GR,Milwaukee,12.5,"Athens, GR"
30,Leandro Bolmaro,Las Varillas,AR,Minnesota,5.4,"Las Varillas, AR"
31,Josh Okogie,Lagos,NG,Minnesota,9.0,"Lagos, NG"
