,Player,Player City,Country,State,Team City,PER,Player US Full City
0,Delon Wright,Los Angeles,US,CA,Atlanta,13.8,"Los Angeles, CA"
1,Jalen Johnson,Wausau,US,WI,Atlanta,11.3,"Wausau, WI"
2,Kevin Huerter,Albany,US,NY,Atlanta,11.9,"Albany, NY"
3,Skylar Mays,Baton Rouge,US,LA,Atlanta,11.7,"Baton Rouge, LA"
4,Lou Williams,Memphis,US,TN,Atlanta,12.1,"Memphis, TN"
5,Trae Young,Lubbock,US,TX,Atlanta,25.4,"Lubbock, TX"
6,De'Andre Hunter,Philadelphia,US,PA,Atlanta,10.6,"Philadelphia, PA"
7,Onyeka Okongwu,Los Angeles,US,CA,Atlanta,19.8,"Los Angeles, CA"
8,John Collins,Layton,US,UT,Atlanta,18.7,"Layton, UT"
9,Chaundee Brown Jr.,Orlando,US,FL,Atlanta,6.4,"Orlando, FL"
10,Matt Ryan,White Plains,US,NY,Boston,3.5,"White Plains, NY"
11,Jayson Tatum,St. Louis,US,MO,Boston,21.8,"St. Louis, MO"
12,Jaylen Brown,Marietta,US,GA,Boston,18.9,"Marietta, GA"
13,Malik Fitts,Lynwood,US,CA,Boston,10.7,"Lynwood, CA"
14,Derrick White,Parker,US,CO,Boston,14.8,"Parker, CO"
15,Payton Pritchard,Tualatin,US,OR,Boston,15.0,"Tualatin, OR"
16,Grant Williams,Houston,US,TX,Boston,11.2,"Houston, TX"
17,Juwan Morgan,Waynesville,US,MO,Boston,8.3,"Waynesville, MO"
18,Aaron Nesmith,Charleston,US,SC,Boston,7.3,"Charleston, SC"
19,Sam Hauser,Green Bay,US,WI,Boston,14.8,"Green Bay, WI"
20,Marcus Smart,Flower Mound,US,TX,Boston,13.6,"Flower Mound, TX"
21,Luke Kornet,Lantana,US,TX,Boston,16.6,"Lantana, TX"
22,Brodric Thomas,Bolingbrook,US,IL,Boston,10.0,"Bolingbrook, IL"
23,Kevin Love,Santa Monica,US,CA,Cleveland,19.6,"Santa Monica, CA"
24,Brandon Goodwin,Norcross,US,GA,Cleveland,11.8,"Norcross, GA"
25,Rajon Rondo,Louisville,US,KY,Cleveland,10.9,"Louisville, KY"
26,Collin Sexton,Marietta,US,GA,Cleveland,11.2,"Marietta, GA"
27,Caris LeVert,Columbus,US,OH,Cleveland,15.1,"Columbus, OH"
28,Evan Mobley,San Diego,US,CA,Cleveland,16.1,"San Diego, CA"
29,RJ Nembhard Jr.,Keller,US,TX,Cleveland,8.0,"Keller, TX"
30,Moses Brown,New York,US,NY,Cleveland,18.5,"New York, NY"
31,Lamar Stevens,Philadelphia,US,PA,Cleveland,11.3,"Philadelphia, PA"
32,Dylan Windler,Indianapolis,US,IN,Cleveland,8.8,"Indianapolis, IN"
33,Darius Garland,Gary,US,IN,Cleveland,19.0,"Gary, IN"
34,Ed Davis,Washington,US,DC,Cleveland,9.3,"Washington, DC"
35,Jarrett Allen,San Diego,US,CA,Cleveland,23.0,"San Diego, CA"
36,Dean Wade,Wichita,US,KS,Cleveland,10.1,"Wichita, KS"
37,Isaac Okoro,Atlanta,US,GA,Cleveland,10.4,"Atlanta, GA"
38,Jared Harper,Atlanta,US,GA,New Orleans,36.9,"Atlanta, GA"
39,CJ McCollum,Canton,US,OH,New Orleans,18.3,"Canton, OH"
40,Devonte' Graham,Raleigh,US,NC,New Orleans,12.1,"Raleigh, NC"
41,Herbert Jones,Tuscaloosa,US,AL,New Orleans,12.3,"Tuscaloosa, AL"
42,Naji Marshall,Atlantic City,US,NJ,New Orleans,12.3,"Atlantic City, NJ"
43,Jaxson Hayes,Norman,US,OK,New Orleans,18.5,"Norman, OK"
44,Gary Clark,Smithfield,US,NC,New Orleans,11.4,"Smithfield, NC"
45,Kira Lewis Jr.,Meridianville,US,AL,New Orleans,9.8,"Meridianville, AL"
46,Brandon Ingram,Kinston,US,NC,New Orleans,18.7,"Kinston, NC"
47,Jose Alvarado,Brooklyn,US,NY,New Orleans,16.4,"Brooklyn, NY"
48,Tony Snell,Los Angeles,US,CA,New Orleans,6.3,"Los Angeles, CA"
49,Larry Nance Jr.,Akron,US,OH,New Orleans,14.4,"Akron, OH"
50,Trey Murphy III,Durham,US,NC,New Orleans,12.5,"Durham, NC"
51,Garrett Temple,Baton Rouge,US,LA,New Orleans,8.6,"Baton Rouge, LA"
52,Coby White,Goldsboro,US,NC,Chicago,12.6,"Goldsboro, NC"
53,Lonzo Ball,Anaheim,US,CA,Chicago,14.5,"Anaheim, CA"
54,Derrick Jones Jr.,Chester,US,PA,Chicago,13.0,"Chester, PA"
55,Alex Caruso,College Station,US,TX,Chicago,11.7,"College Station, TX"
56,Troy Brown Jr.,Las Vegas,US,NV,Chicago,10.1,"Las Vegas, NV"
57,Zach LaVine,Renton,US,WA,Chicago,20.0,"Renton, WA"
58,DeMar DeRozan,Compton,US,CA,Chicago,23.1,"Compton, CA"
59,Ayo Dosunmu,Chicago,US,IL,Chicago,11.2,"Chicago, IL"
60,Tony Bradley,Bartow,US,FL,Chicago,14.9,"Bartow, FL"
61,Malcolm Hill,St. Louis,US,MO,Chicago,12.7,"St. Louis, MO"
62,Matt Thomas,Decatur,US,IL,Chicago,9.9,"Decatur, IL"
63,Javonte Green,Petersburg,US,VA,Chicago,14.0,"Petersburg, VA"
64,Tyler Cook,St. Louis,US,MO,Chicago,13.0,"St. Louis, MO"
65,Patrick Williams,Charlotte,US,NC,Chicago,12.7,"Charlotte, NC"
66,Sterling Brown,Maywood,US,IL,Dallas,8.4,"Maywood, IL"
67,Theo Pinson,Greensboro,US,NC,Dallas,11.9,"Greensboro, NC"
68,Trey Burke,Columbus,US,OH,Dallas,10.0,"Columbus, OH"
69,Moses Wright,Raleigh,US,NC,Dallas,18.3,"Raleigh, NC"
70,Dorian Finney-Smith,Portsmouth,US,VA,Dallas,12.5,"Portsmouth, VA"
71,Tim Hardaway Jr.,Orinda,US,CA,Dallas,12.7,"Orinda, CA"
72,Jalen Brunson,New Brunswick,US,NJ,Dallas,17.1,"New Brunswick, NJ"
73,Reggie Bullock,Baltimore,US,MD,Dallas,9.2,"Baltimore, MD"
74,Spencer Dinwiddie,Los Angeles,US,CA,Dallas,15.1,"Los Angeles, CA"
75,Marquese Chriss,Sacramento,US,CA,Dallas,14.8,"Sacramento, CA"
76,Markus Howard,Morristown,US,NJ,Denver,16.1,"Morristown, NJ"
77,JaMychal Green,Montgomery,US,AL,Denver,14.1,"Montgomery, AL"
78,Michael Porter Jr.,Columbia,US,MO,Denver,7.5,"Columbia, MO"
79,Bones Hyland,Wilmington,US,DE,Denver,14.4,"Wilmington, DE"
80,DeMarcus Cousins,Mobile,US,AL,Denver,18.2,"Mobile, AL"
81,Will Barton,Baltimore,US,MD,Denver,13.4,"Baltimore, MD"
82,Bryn Forbes,Lansing,US,MI,Denver,11.5,"Lansing, MI"
83,Davon Reed,Princeton,US,NJ,Denver,12.2,"Princeton, NJ"
84,Monte Morris,Grand Rapids,US,MI,Denver,14.7,"Grand Rapids, MI"
85,Zeke Nnaji,Hopkins,US,MN,Denver,13.5,"Hopkins, MN"
86,Austin Rivers,Santa Monica,US,CA,Denver,7.2,"Santa Monica, CA"
87,Jeff Green,Cheverly,US,MD,Denver,12.5,"Cheverly, MD"
88,Aaron Gordon,San Jose,US,CA,Denver,15.3,"San Jose, CA"
89,Gary Payton II,Seattle,US,WA,Golden State,17.8,"Seattle, WA"
90,Damion Lee,Baltimore,US,MD,Golden State,10.9,"Baltimore, MD"
91,Chris Chiozza,Memphis,US,TN,Golden State,4.4,"Memphis, TN"
92,Jordan Poole,Milwaukee,US,WI,Golden State,16.1,"Milwaukee, WI"
93,Moses Moody,Little Rock,US,AR,Golden State,10.5,"Little Rock, AR"
94,Kevon Looney,Milwaukee,US,WI,Golden State,15.7,"Milwaukee, WI"
95,Andre Iguodala,Springfield,US,IL,Golden State,12.3,"Springfield, IL"
96,Klay Thompson,Los Angeles,US,CA,Golden State,16.7,"Los Angeles, CA"
97,Quinndary Weatherspoon,Canton,US,MS,Golden State,12.0,"Canton, MS"
98,Draymond Green,Saginaw,US,MI,Golden State,14.3,"Saginaw, MI"
99,Stephen Curry,Akron,US,OH,Golden State,21.4,"Akron, OH"
100,Otto Porter Jr.,St. Louis,US,MO,Golden State,15.9,"St. Louis, MO"
101,Juan Toscano-Anderson,Oakland,US,CA,Golden State,11.0,"Oakland, CA"
102,Jalen Green,Merced,US,CA,Houston,12.5,"Merced, CA"
103,David Nwaba,Los Angeles,US,CA,Houston,15.3,"Los Angeles, CA"
104,Kevin Porter Jr.,Seattle,US,WA,Houston,13.5,"Seattle, WA"
105,Kenyon Martin Jr.,Gardena,US,CA,Houston,14.3,"Gardena, CA"
